Compound,Isomer,Breed,Parity,Feed_Type,Scenario,GOF_Passed,Exposure_Stop_Day,Total_Days,Milk_Conc_End_Exposure,t50_depuration_days,t90_depuration_days,t_below_reg_limit_days
PFDA,Branched,Alpine,multiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.007352873027268588,,,
PFDA,Branched,Alpine,multiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.008445016387746718,203.8636752393054,209.27200269441306,
PFDA,Branched,Alpine,multiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.004901915351512391,,,
PFDA,Branched,Alpine,multiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.004901915351512391,,,
PFDA,Branched,Alpine,multiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.00563001092516448,203.8636752393054,209.27200269441306,
PFDA,Branched,Saanen,primiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.013006284655643529,,,
PFDA,Branched,Saanen,primiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.013006284655643529,,,
PFDA,Branched,Saanen,primiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.01592364277402738,203.85614742127325,209.25297696821545,
PFDA,Branched,Saanen,primiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.007803770793386119,,,
PFDA,Branched,Saanen,primiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.007803770793386119,,,
PFDA,Branched,Saanen,primiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.009554185664416428,203.85614742127325,209.25297696821545,
PFDA,Branched,Saanen,primiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.005202513862257414,,,
PFDA,Branched,Saanen,primiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.005202513862257414,,,
PFDA,Branched,Saanen,primiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.006369457109610953,203.85614742127325,209.25297696821545,
PFDA,Branched,Saanen,multiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.011710902300330697,,,
PFDA,Branched,Saanen,multiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.011710902300330697,,,
PFDA,Branched,Saanen,multiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.013319808755766892,203.864902461063,209.27414637883615,
PFDA,Branched,Saanen,multiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.007026541380198417,,,
PFDA,Branched,Saanen,multiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.007026541380198417,,,
PFDA,Branched,Saanen,multiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.007991885253460137,203.864902461063,209.27414637883615,
PFDA,Branched,Saanen,multiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.004684360920132279,,,
PFDA,Branched,Saanen,multiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.004684360920132279,,,
PFDA,Branched,Saanen,multiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.00532792350230676,203.864902461063,209.27414637883615,
PFDA,Linear,Alpine,primiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.06510269744129618,,,
PFDA,Linear,Alpine,primiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.06510269744129618,,,
PFDA,Linear,Alpine,primiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.075597134470571,214.11871835025698,244.46121386702,
PFDA,Linear,Alpine,primiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.0390616184647777,,,
PFDA,Linear,Alpine,primiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.0390616184647777,,,
PFDA,Linear,Alpine,primiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.04535828068234259,214.11871835025698,244.46121386702004,
PFDA,Linear,Alpine,primiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.026041078976518466,,,
PFDA,Linear,Alpine,primiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.026041078976518466,,,
PFDA,Linear,Alpine,primiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.0302388537882284,214.11871835025698,244.46121386702004,
PFDA,Linear,Alpine,multiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.06225593266435174,,,
PFDA,Linear,Alpine,multiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.06225593266435174,,,
PFDA,Linear,Alpine,multiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.0685933499879121,215.10307235457174,247.63742322331356,
PFDA,Linear,Alpine,multiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.037353559598611044,,,
PFDA,Linear,Alpine,multiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.037353559598611044,,,
PFDA,Linear,Alpine,multiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.04115600999274726,215.10307235457174,247.63742322331356,
PFDA,Linear,Alpine,multiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.024902373065740696,,,
PFDA,Linear,Alpine,multiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.024902373065740696,,,
PFDA,Linear,Alpine,multiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.02743733999516484,215.10307235457174,247.63742322331353,
PFDA,Linear,Saanen,primiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.06406955595209736,,,
