Compound,Isomer,Animal_Excluded,E_milk,k_ehc,k_elim,k_renal,k_a,k_feces
PFDS,Branched,E2,0.0,0.32920547359520397,1.2149000814720727,0.0,0.0671334914429816,0.010719514440371619
PFDS,Branched,E3,0.0,0.1418764755711868,0.579393251162479,0.0,0.060236253578420204,0.012868690435156148
PFDS,Branched,E4,0.0,0.05382426115670491,0.8646656337887362,0.0,0.041550101399827455,0.01095832710578023
