Parameter,Fisher_Info_Diagonal,Max_Eigenvalue,Min_Eigenvalue,Condition_Number,Condition_Number_Per_Dim
k_a,13055.264610729679,39000.65985913361,255.69561623596522,152.52768284905744,2.7331894426691905
k_elim,25312.815217623884,39000.65985913361,255.69561623596522,152.52768284905744,2.7331894426691905
k_feces,1811.6764345439587,39000.65985913361,255.69561623596522,152.52768284905744,2.7331894426691905
k_ehc,1742.9123507253234,39000.65985913361,255.69561623596522,152.52768284905744,2.7331894426691905
k_renal,21193.091873766334,39000.65985913361,255.69561623596522,152.52768284905744,2.7331894426691905
