Parameter,Fisher_Info_Diagonal,Max_Eigenvalue,Min_Eigenvalue,Condition_Number,Condition_Number_Per_Dim
k_elim,0.4196312560334614,17575.54590940657,0.0010879926436321444,16154103.625859577,63.39729325919801
k_a,1350.7435045279703,17575.54590940657,0.0010879926436321444,16154103.625859577,63.39729325919801
k_feces,1355.7537363694435,17575.54590940657,0.0010879926436321444,16154103.625859577,63.39729325919801
k_ehc,15339.471605111166,17575.54590940657,0.0010879926436321444,16154103.625859577,63.39729325919801
