Parameter,Fisher_Info_Diagonal,Max_Eigenvalue,Min_Eigenvalue,Condition_Number,Condition_Number_Per_Dim
k_a,8284.060739440343,32676.927516091167,80.43363560427667,406.25948672589567,3.324763078765215
k_elim,6648.971936720847,32676.927516091167,80.43363560427667,406.25948672589567,3.324763078765215
k_feces,3997.555983188861,32676.927516091167,80.43363560427667,406.25948672589567,3.324763078765215
k_ehc,1768.3882742409214,32676.927516091167,80.43363560427667,406.25948672589567,3.324763078765215
k_renal,20258.116063924175,32676.927516091167,80.43363560427667,406.25948672589567,3.324763078765215
