Parameter,Fisher_Info_Diagonal,Max_Eigenvalue,Min_Eigenvalue,Condition_Number,Condition_Number_Per_Dim
k_elim,2703.9383110544422,2703.9383151851757,0.0002679196562829516,10092347.656379232,3176.8455512314777
k_a,0.00027205039004328546,2703.9383151851757,0.0002679196562829516,10092347.656379232,3176.8455512314777
