Matrix,Compound,Isomer,Mean_Partition_Coefficient
Kidney,PFTeDA,Linear,0.5513244581463619
Kidney,PFTrDA,Linear,0.5513244581463619
Kidney,PFTrDS,Branched,0.5513244581463619
Kidney,PFTrDS,Linear,0.5513244581463619
Kidney,PFTrDS,Total,0.5513244581463619
Kidney,PFUnDA,Linear,0.5513244581463619
Kidney,PFUnDS,Branched,0.5513244581463619
Kidney,PFUnDS,Linear,0.5513244581463619
Kidney,PFUnDS,Total,0.5513244581463619
Kidney,SD PFCA,Linear,0.5513244581463619
Kidney,SD PFSA,Linear,0.5513244581463619
Kidney,Summe PFCA,Linear,0.5513244581463619
Kidney,Summe PFSA,Linear,0.6357690611917893
Kidney,√((∑SD)^2/Anzahl PFAS),Linear,0.5513244581463619
Liver,PFBA,Linear,4.4279265759441495
Liver,PFDA,Linear,3.334642191981383
Liver,PFDA,Total,3.334642191981383
Liver,PFDS,Branched,6.558033199967639
Liver,PFDS,Linear,19.656628764351126
Liver,PFDS,Total,7.353089502497983
Liver,PFDoDA,Linear,4.4279265759441495
Liver,PFDoDS,Branched,4.4279265759441495
Liver,PFDoDS,Linear,4.4279265759441495
Liver,PFDoDS,Total,4.4279265759441495
Liver,PFECHS,Linear,3.7012843839627663
Liver,PFHpA,Linear,4.4279265759441495
Liver,PFHpA,Total,4.4279265759441495
Liver,PFHpS,Branched,4.4279265759441495
Liver,PFHpS,Linear,4.4279265759441495
Liver,PFHpS,Total,4.4279265759441495
Liver,PFHxA,Linear,4.4279265759441495
Liver,PFHxA,Total,4.4279265759441495
Liver,PFHxS,Linear,4.4279265759441495
Liver,PFHxS,Total,4.4279265759441495
Liver,PFNA,Total,4.4279265759441495
Liver,PFNS,Branched,4.827244772757663
Liver,PFNS,Linear,8.540284382831507
Liver,PFNS,Total,5.2178315084995734
Liver,PFOA,Branched,4.4279265759441495
Liver,PFOA,Linear,4.4279265759441495
Liver,PFOA,Total,4.4279265759441495
Liver,PFOS,Branched,3.4313716975814246
Liver,PFOS,Linear,4.411655469443423
Liver,PFOS,Total,4.1643807952322325
Liver,PFPeA,Linear,4.4279265759441495
Liver,PFTeDA,Linear,4.4279265759441495
Liver,PFTrDA,Linear,4.4279265759441495
Liver,PFTrDS,Branched,4.4279265759441495
Liver,PFTrDS,Linear,4.4279265759441495
Liver,PFTrDS,Total,4.4279265759441495
Liver,PFUnDA,Linear,4.4279265759441495
Liver,PFUnDS,Branched,4.14130885864805
Liver,PFUnDS,Linear,4.4279265759441495
Liver,PFUnDS,Total,4.485308858648049
Liver,SD PFCA,Linear,4.4279265759441495
Liver,SD PFSA,Linear,4.4279265759441495
Liver,Summe PFCA,Linear,3.334642191981383
Liver,Summe PFSA,Linear,5.089813349953008
Liver,√((∑SD)^2/Anzahl PFAS),Linear,4.4279265759441495
Lung,PFBA,Linear,0.5256890715667312
Lung,PFDA,Linear,0.5256890715667312
Lung,PFDA,Total,0.5256890715667312
Lung,PFDS,Branched,0.49378708871169225
Lung,PFDS,Linear,4.040271391184483
Lung,PFDS,Total,0.8115605464332999
Lung,PFDoDA,Linear,0.5256890715667312
Lung,PFDoDS,Branched,0.5256890715667312
Lung,PFDoDS,Linear,0.5256890715667312
Lung,PFDoDS,Total,0.5256890715667312
Lung,PFECHS,Linear,0.5256890715667312
Lung,PFHpA,Linear,0.5256890715667312
Lung,PFHpA,Total,0.5256890715667312
Lung,PFHpS,Branched,0.5256890715667312
Lung,PFHpS,Linear,0.5256890715667312
Lung,PFHpS,Total,0.5256890715667312
Lung,PFHxA,Linear,0.5256890715667312
Lung,PFHxA,Total,0.5256890715667312
Lung,PFHxS,Linear,0.5256890715667312
Lung,PFHxS,Total,0.5256890715667312
Lung,PFNA,Total,0.5256890715667312
Lung,PFNS,Branched,0.4541129237843691
Lung,PFNS,Linear,1.3866957350810407
Lung,PFNS,Total,0.5517297501573858
Lung,PFOA,Branched,0.5256890715667312
Lung,PFOA,Linear,0.5256890715667312
Lung,PFOA,Total,0.5256890715667312
Lung,PFOS,Branched,0.32656263161174653
Lung,PFOS,Linear,0.6216713519376563
Lung,PFOS,Total,0.5486577994295733
Lung,PFPeA,Linear,0.5256890715667312
Lung,PFTeDA,Linear,0.5256890715667312
Lung,PFTrDA,Linear,0.5256890715667312
Lung,PFTrDS,Branched,0.5256890715667312
Lung,PFTrDS,Linear,0.5256890715667312
Lung,PFTrDS,Total,0.5256890715667312
Lung,PFUnDA,Linear,0.5256890715667312
Lung,PFUnDS,Branched,0.5256890715667312
Lung,PFUnDS,Linear,0.5256890715667312
Lung,PFUnDS,Total,0.5256890715667312
Lung,SD PFCA,Linear,0.5256890715667312
