Day,Animal,Feed_Intake_kg_day,total_dm_intake_kg_per_d,dm_digestibility_pct,feces_dm_kg_per_d,feces_wet_kg_per_d,feces_volume_l_per_d
0,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
1,E2,1.4614640438568205,1.9614640438568205,58.0,0.8238148984198647,2.333753253314064,2.333753253314064
2,E2,1.4614640438568205,1.9614640438568205,58.0,0.8238148984198647,2.333753253314064,2.333753253314064
3,E2,1.4614640438568205,1.9614640438568205,58.0,0.8238148984198647,2.333753253314064,2.333753253314064
4,E2,1.4614640438568205,1.9614640438568205,58.0,0.8238148984198647,2.333753253314064,2.333753253314064
5,E2,1.4614640438568205,1.9614640438568205,58.0,0.8238148984198647,2.333753253314064,2.333753253314064
6,E2,1.4614640438568205,1.9614640438568205,58.0,0.8238148984198647,2.333753253314064,2.333753253314064
7,E2,1.4614640438568205,1.9614640438568205,58.0,0.8238148984198647,2.333753253314064,2.333753253314064
8,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
9,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
10,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
11,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
12,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
13,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
14,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
15,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
16,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
17,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
18,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
19,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
20,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
21,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
22,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
23,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
24,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
25,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
26,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
27,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
28,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
29,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
30,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
31,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
32,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
33,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
34,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
35,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
36,E2,1.5139632376652694,2.013963237665269,58.0,0.8458645598194131,2.396216883341114,2.396216883341114
37,E2,1.5139632376652694,2.013963237665269,58.0,0.8458645598194131,2.396216883341114,2.396216883341114
38,E2,1.5139632376652694,2.013963237665269,58.0,0.8458645598194131,2.396216883341114,2.396216883341114
39,E2,1.5139632376652694,2.013963237665269,58.0,0.8458645598194131,2.396216883341114,2.396216883341114
40,E2,1.5139632376652694,2.013963237665269,58.0,0.8458645598194131,2.396216883341114,2.396216883341114
41,E2,1.5139632376652694,2.013963237665269,58.0,0.8458645598194131,2.396216883341114,2.396216883341114
42,E2,1.5139632376652694,2.013963237665269,58.0,0.8458645598194131,2.396216883341114,2.396216883341114
43,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
44,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
45,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
46,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
47,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
48,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
49,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
50,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
51,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
52,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
53,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
54,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
55,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
56,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
57,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
58,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
59,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
60,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
61,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
62,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
63,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
64,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
65,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
66,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
67,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
68,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
69,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
70,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
71,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
72,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
73,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
74,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
75,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
76,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
77,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
78,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
79,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
80,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
81,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
82,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
83,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
84,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
85,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
86,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
87,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
88,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
89,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
90,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
91,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
92,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
93,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
94,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
95,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
96,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
97,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
98,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
99,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
100,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
101,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
102,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
103,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
104,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
105,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
106,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
107,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
108,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
109,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
110,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
111,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
112,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
113,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
114,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
115,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
116,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
117,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
118,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
119,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
120,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
121,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
122,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
123,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
124,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
125,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
126,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
127,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
128,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
129,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
130,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
131,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
132,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
133,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
134,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
135,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
136,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
137,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
138,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
139,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
140,E2,1.4877136407610447,1.9877136407610447,58.0,0.8348397291196389,2.3649850683275893,2.3649850683275893
0,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
1,E3,0.6612060625604644,1.1612060625604643,58.0,0.48770654627539506,1.6759675129738667,1.6759675129738667
2,E3,0.6612060625604644,1.1612060625604643,58.0,0.48770654627539506,1.6759675129738667,1.6759675129738667
3,E3,0.6612060625604644,1.1612060625604643,58.0,0.48770654627539506,1.6759675129738667,1.6759675129738667
4,E3,0.6612060625604644,1.1612060625604643,58.0,0.48770654627539506,1.6759675129738667,1.6759675129738667
5,E3,0.6612060625604644,1.1612060625604643,58.0,0.48770654627539506,1.6759675129738667,1.6759675129738667
6,E3,0.6612060625604644,1.1612060625604643,58.0,0.48770654627539506,1.6759675129738667,1.6759675129738667
7,E3,0.6612060625604644,1.1612060625604643,58.0,0.48770654627539506,1.6759675129738667,1.6759675129738667
8,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
9,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
10,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
11,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
12,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
13,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
14,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
15,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
16,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
17,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
18,E3,1.3302160593356984,1.8302160593356984,58.0,0.7686907449209934,2.641548951618535,2.641548951618535
