Compound,Isomer,Compartment,N,R2,rRMSE,GM_Fold_Error,Bias_log10,Bias_fold,CI_Coverage
PFBA,Linear,feces,9,0.0649058639539474,0.5975833309725981,2.373347662447885,0.007482391369988369,1.0173781153732733,0.7777777777777778
PFBA,Linear,milk,27,0.7827013631297922,0.8168202115421594,172.4701883461063,-2.0497833365960023,112.14588346931517,0.3333333333333333
PFBA,Linear,plasma,12,0.036583134457376286,0.3787813239889812,2.198350420905613,-0.05446147097745787,1.1336042644081805,0.3333333333333333
PFBA,Linear,urine,7,0.3527358447639536,0.3126533718002944,4.008660699161505,-0.15296053217353509,1.4221995345594376,0.7142857142857143
PFDA,Branched,milk,4,0.8843352669912329,0.5019427842747904,1.3790729684552974,-0.13591839026127744,1.3674718352126796,0.75
PFDA,Linear,liver,2,0.0,1.8177185489603098,1.7262961439748536,-0.23711530045319812,1.7262961439748536,1.0
PFDA,Linear,milk,26,0.6529062482965861,0.5034058334275805,2.381474034549735,-0.14512683054895323,1.3967762134141066,0.6923076923076923
PFDA,Linear,plasma,18,0.9122159996638145,0.20893042434239723,1.3407526086186645,0.08643923694088006,1.220223084809073,0.8888888888888888
PFDS,Branched,feces,14,0.9231771427648358,0.1689191445430568,1.6095735956018185,-0.02867830505860347,1.0682632914396335,0.6428571428571429
PFDS,Branched,heart,3,0.0,0.5840859491757749,1.2664970047333397,-0.08250689983156557,1.2092243942818635,0.6666666666666666
PFDS,Branched,kidney,3,1.232767968187684e-33,0.45434532658834514,1.3628548697773204,-0.06237094778720995,1.1544388879271723,0.6666666666666666
PFDS,Branched,liver,3,2.312115756076391e-31,0.4372967092649097,1.3975683201789324,0.05909074161734809,1.1457523102639535,0.6666666666666666
PFDS,Branched,lung,3,0.0,0.48476719852738553,1.2330859547831374,-0.053858211002810026,1.1320307161153726,0.6666666666666666
PFDS,Branched,milk,27,0.7425365118788472,0.15893811119095336,2.0192168085187485,-0.09634837720414673,1.2483845270142522,0.18518518518518517
PFDS,Branched,plasma,24,0.9776752817232792,0.06452201214625519,1.2776972837114757,0.007107183716452611,1.0164995336221914,0.625
PFDS,Branched,spleen,1,,,1.9599626989524186,,,0.0
PFDS,Linear,brain,3,0.0,0.45715988238341315,1.6892551985822886,0.057258997038045205,1.1409299928291128,0.3333333333333333
PFDS,Linear,feces,14,0.9419436973923527,0.22634098780224735,2.1093042369005897,-0.06853876432600227,1.170951114596879,0.5
PFDS,Linear,heart,2,0.0,0.7925416424860875,1.4268090240197564,-0.15436584742100623,1.4268090240197564,0.5
PFDS,Linear,kidney,3,0.0,0.4434165952744753,1.5325389075025335,0.06755297620444188,1.168296232536215,0.3333333333333333
PFDS,Linear,liver,3,0.0,0.48272243639584056,1.8544890628638953,0.14924921768706415,1.4100977437377535,0.3333333333333333
