Parameter,Value,Compound,Isomer
k_elim,310.2717585978489,PFHxA,Linear
k_a,0.0011355105265663384,PFHxA,Linear
k_urine,314.3648213303617,PFHxA,Linear
k_feces,0.0,PFHxA,Linear
k_ehc,0.0,PFHxA,Linear
