Parameter,Value,Compound,Isomer
k_a,449.6754796006792,PFTrDA,Linear
k_elim,0.17380960119222297,PFTrDA,Linear
k_milk,0.015173967015396682,PFTrDA,Linear
k_feces,0.0,PFTrDA,Linear
k_ehc,0.0,PFTrDA,Linear
k_renal,0.0,PFTrDA,Linear
