Parameter,Value,Compound,Isomer
k_elim,0.21984316822757244,PFDoDA,Linear
k_a,284.4175140986567,PFDoDA,Linear
k_feces,0.0,PFDoDA,Linear
k_ehc,0.0,PFDoDA,Linear
k_urine,0.0,PFDoDA,Linear
