Parameter,Value,Compound,Isomer
k_elim,3.1789021130882666,PFTrDS,Branched
k_feces,131.86425265839654,PFTrDS,Branched
k_ehc,0.6084727041545755,PFTrDS,Branched
k_urine,0.0,PFTrDS,Branched
k_a,100.0,PFTrDS,Branched
