Parameter,Value,Compound,Isomer
k_elim,311.70857236483874,PFPeA,Linear
k_a,0.016475753854720346,PFPeA,Linear
k_feces,0.004116268651333125,PFPeA,Linear
k_urine,253.48659614403377,PFPeA,Linear
k_ehc,0.0,PFPeA,Linear
