Parameter,Value,Compound,Isomer
k_a,1.0008072052473354,PFHpS,Branched
k_elim,0.1066347541808934,PFHpS,Branched
k_feces,0.0,PFHpS,Branched
k_ehc,0.0,PFHpS,Branched
k_renal,0.0,PFHpS,Branched
