Parameter,Value,Compound,Isomer
k_elim,0.08883353429637626,PFHpS,Linear
k_feces,0.0,PFHpS,Linear
k_ehc,0.0,PFHpS,Linear
k_urine,0.0,PFHpS,Linear
k_a,100.0,PFHpS,Linear
