Parameter,Value,Compound,Isomer
k_elim,32.34910287528064,PFTrDA,Branched
k_a,0.21291519364980604,PFTrDA,Branched
k_feces,0.0,PFTrDA,Branched
k_ehc,0.0,PFTrDA,Branched
k_urine,0.0,PFTrDA,Branched
