Parameter,Value,Compound,Isomer
k_elim,0.2132131017881241,PFNS,Branched
k_a,52.186713752098186,PFNS,Branched
k_feces,0.022718452687070418,PFNS,Branched
k_ehc,59.71169729474672,PFNS,Branched
k_urine,0.0012149951477570906,PFNS,Branched
