Parameter,Value,Compound,Isomer
k_a,299.36959778975114,PFDA,Linear
k_elim,0.1528932408675608,PFDA,Linear
k_feces,0.0,PFDA,Linear
k_ehc,0.0,PFDA,Linear
k_renal,0.0,PFDA,Linear
