Parameter,Value,Compound,Isomer
k_elim,13.301553542573902,PFOA,Linear
k_feces,0.7983541665072811,PFOA,Linear
k_urine,2.38462132190205,PFOA,Linear
k_ehc,0.0,PFOA,Linear
k_a,100.0,PFOA,Linear
