Animal,Compound,Isomer,total_intake,auc_milk_amount,auc_urine_amount,auc_feces_amount,total_body_burden,total_eliminated,mass_balance,unaccounted,transfer_rate_milk,transfer_rate_urine,transfer_rate_feces
E2,PFBA,Linear,17937.415666885176,56.83732542603549,3418.1266209415003,415.0075797901253,0.0,3889.971526157661,0.21686354368980026,14047.444140727515,0.0031686462800192927,0.19055847756551747,0.023136419844263508
E3,PFBA,Linear,17484.563683949647,57.900163847395625,2937.5248792342895,980.3448546694287,0.0,3975.7698977511136,0.22738742410831572,13508.793786198534,0.003311501784888484,0.16800675912381258,0.05606916319961468
E4,PFBA,Linear,16368.184476058104,41.74703198989765,3025.3794118870505,247.89401081145306,0.0,3315.020454688401,0.20252829258720248,13053.164021369703,0.002550498624386927,0.18483292489233005,0.015144869070485486
E2,PFBS,Linear,55.73827281048059,0.0,0.0,0.0,0.0,0.0,0.0,55.73827281048059,0.0,0.0,0.0
E3,PFBS,Linear,54.12291123391872,0.0,0.0,0.0,0.0,0.0,0.0,54.12291123391872,0.0,0.0,0.0
E4,PFBS,Linear,50.70179562228162,0.0,0.0,0.0,0.0,0.0,0.0,50.70179562228162,0.0,0.0,0.0
E2,PFDA,Branched,9.718524229907874,0.1870881275692175,0.0,0.0,0.0,0.1870881275692175,0.019250672544857253,9.531436102338658,0.019250672544857253,0.0,0.0
E3,PFDA,Branched,9.520017001476445,0.028719515360166252,0.0,0.0,0.0,0.028719515360166252,0.0030167504276213146,9.491297486116279,0.0030167504276213146,0.0,0.0
E4,PFDA,Branched,8.933508761354325,0.0477997544931395,0.0,0.0,0.0,0.0477997544931395,0.0053506137140557335,8.885709006861186,0.0053506137140557335,0.0,0.0
E2,PFDA,Linear,68.99712096314177,8.325352481141456,0.0,0.0,0.7150815,8.325352481141456,0.13102624942815877,59.95668698200031,0.12066231699129672,0.0,0.0
E3,PFDA,Linear,68.08693476589903,5.644371717295812,0.0,0.0,0.39964238999999996,5.644371717295812,0.08876907336299891,62.04292065860322,0.08289948338403925,0.0,0.0
E4,PFDA,Linear,63.57524970611896,8.541978850333658,0.0,0.0,0.17860499999999999,8.541978850333658,0.13716947854149478,54.8546658557853,0.1343601305511115,0.0,0.0
E2,PFDA,Total,,,0.0,0.0,0.7150815,,,,,,
E3,PFDA,Total,,,0.0,0.0,0.39964238999999996,,,,,,
E4,PFDA,Total,,,0.0,0.0,0.17860499999999999,,,,,,
E2,PFDS,Branched,10726.696480146033,208.85233182606692,0.0,5908.300297098716,33.7203239,6117.152628924783,0.573417264505376,4575.8235273212495,0.01947033107654628,0.0,0.5508033445370947
E3,PFDS,Branched,10602.912610605483,119.75687880401131,0.0,3582.4554804402987,22.267404722999995,3702.21235924431,0.3512694955386058,6878.432846638173,0.01129471525439391,0.0,0.3378746587854525
E4,PFDS,Branched,9942.289488823702,210.1700747484336,0.0,3330.6177183557093,11.758710599999999,3540.787793104143,0.35731674356269966,6389.742985119559,0.021139001734428408,0.0,0.3349950453665339
E2,PFDS,Linear,12144.256130281366,282.56550157591744,0.0,6859.68649038554,41.148133400000006,7142.251991961458,0.5915059801357325,4960.856004919909,0.023267419473420706,0.0,0.5648502812190449
E3,PFDS,Linear,12001.502816288781,166.38817089608244,0.0,5095.098864350379,9.304156329999998,5261.487035246461,0.43917759902724796,6730.7116247123195,0.013863944661184905,0.0,0.4245384050933326
E4,PFDS,Linear,11288.57204669672,256.8745144693052,0.0,3879.423037958893,7.48633914,4136.297552428198,0.3670777733823969,7144.788155128521,0.0227552708532761,0.0,0.34365932395267795
E2,PFDS,Total,,,0.0,12767.892188081521,79.968761,,,,,,
E3,PFDS,Total,,,0.0,8692.55834283587,36.57815602599999,,,,,,
E4,PFDS,Total,,,0.0,7198.234199714863,19.354125420000003,,,,,,
E2,PFDoDA,Branched,93.35531275690815,3.757909301091237,0.0,0.0,0.0,3.757909301091237,0.04025383441086654,89.59740345581692,0.04025383441086654,0.0,0.0
E3,PFDoDA,Branched,91.98803682820804,2.0086577415363305,0.0,0.0,0.0,2.0086577415363305,0.021836075763716892,89.97937908667171,0.021836075763716892,0.0,0.0
E4,PFDoDA,Branched,86.56424602528779,3.8027095619616467,0.0,0.0,0.0,3.8027095619616467,0.04392933268142567,82.76153646332614,0.04392933268142567,0.0,0.0
E2,PFDoDA,Linear,46.09652621738593,2.292395911515074,0.0,0.0,0.0,2.292395911515074,0.049730339781015126,43.804130305870856,0.049730339781015126,0.0,0.0
E3,PFDoDA,Linear,45.57561743351628,1.3802369657275773,0.0,0.0,0.0,1.3802369657275773,0.03028454782298905,44.1953804677887,0.03028454782298905,0.0,0.0
E4,PFDoDA,Linear,42.93848598590608,1.9507700541795625,0.0,0.0,0.0,1.9507700541795625,0.04543173820380798,40.98771593172651,0.04543173820380798,0.0,0.0
E2,PFDoDS,Branched,4211.157255047402,9.012230923767168,0.0,2511.1293206248924,0.0,2520.1415515486597,0.5984439428207229,1691.0157034987424,0.00214008415690611,0.0,0.5963038586638167
E3,PFDoDS,Branched,4167.675943302143,4.976327830058398,0.0,1451.412279211562,0.0,1456.3886070416204,0.3494486200113944,2711.2873362605233,0.0011940294537668738,0.0,0.34825459055762753
E4,PFDoDS,Branched,3924.927369377135,10.48785022800421,0.0,1249.0716356777953,0.0,1259.5594859057994,0.3209128137588148,2665.3678834713355,0.0026721131987898607,0.0,0.31824070056002496
E2,PFDoDS,Linear,1181.622166456689,8.820741481346726,0.0,688.0451059285456,0.427136,696.8658474098924,0.5901150157844901,484.32918304679663,0.007464942459396592,0.0,0.5822885906006445
