Compound,Isomer,Compartment,N,Mean_LogWidth_Param_only,Mean_LogWidth_Param_plus_Animal,Mean_LogWidth_Param_plus_Animal_plus_Obs,Var_param_log,Var_animal_log,Var_obs_log,Var_total_log,Frac_param_log,Frac_animal_log,Frac_obs_log,Mean_Animal_Variation,Sigma
PFBA,Linear,feces,9,0.8256470744756422,0.9792696502672568,2.0168825740345895,0.23561319212118784,0.15588446209828055,1.0725525512985548,1.4640502134958904,0.1609324529645644,0.106474805755505,0.7325927358307547,1.3260200222333272,1.0356411305556354
PFBA,Linear,milk,30,0.3342747533241314,0.3871804434443049,1.7637480579672438,0.07531233998647618,0.03962116437032816,0.974407615327722,1.0893411040306091,0.0691356818427371,0.03637167846116165,0.8944926540661798,0.07157715820358454,0.9871208716908596
PFBA,Linear,plasma,12,0.45281720346480975,0.6086863691373322,1.7424053982018322,0.07185258902609347,0.11481921095401044,0.893573821974829,1.0802456140518188,0.06651504814408507,0.1062899117204864,0.827195047451463,0.886631153523922,0.9452903373963096
PFBA,Linear,urine,10,1.0492837978811944,1.1874682365028382,3.39536084127986,0.5739745100774712,0.19730058461427688,3.332021942593072,4.1032970428466795,0.1398812964511275,0.04808342719380578,0.8120352749996057,6.793691785633564,1.8253826838756504
PFDA,Branched,milk,4,0.25094487314255753,0.30289214465632225,0.6228107012983236,0.0213021812960505,0.01765184197574845,0.1017316869797616,0.1406857147812843,0.1514168039673945,0.12547003797216166,0.7231131258629762,0.00047583570994895,0.3189540515180229
PFDA,Linear,liver,2,1.1697554425529644,1.171757061626319,1.462800860094306,0.5547151565551758,0.0067872609943151,0.2562427149189195,0.8177450895309448,0.6783472791910717,0.008299971569634548,0.3133528017464455,0.0418173037469387,0.5062042225415742
PFDA,Linear,milk,29,1.7272024054555921,1.7809456960184884,2.6837680994274913,1.5447814615443638,0.053236578173678474,1.0165756526230763,2.6145937483886192,0.590830396690276,0.02036131930877916,0.3888082625645359,0.006920092030637052,1.0082537640014424
PFDA,Linear,plasma,18,1.6088008923361383,1.635572741082064,1.844889017736274,1.3011714220046997,0.016862106975167948,0.12519371998483048,1.4432272513707478,0.9015707129759875,0.011683611821459623,0.08674567353542142,0.25079897977411747,0.3538272459616847
PFDS,Branched,feces,14,0.2940854056947591,0.5025860362379719,1.008454736750262,0.02974108087697194,0.12216378269451003,0.24650065672469837,0.398405522108078,0.07465027271610931,0.30663175060452574,0.6187179721314922,5.220279399837766,0.4964883248624266
PFDS,Branched,heart,3,0.2639609404132713,0.31866566052308787,0.7911186909955057,0.0234208535403013,0.0185116566717624,0.1828984606613706,0.2248309701681137,0.10417094016357593,0.08233588396616627,0.8134931790073727,0.0898798182606697,0.427666295914666
PFDS,Branched,kidney,3,0.2639656722687537,0.31866940717035885,1.0785010129145776,0.0234217103570699,0.0185116492211818,0.3686094748904098,0.4105428457260132,0.057050587048108024,0.04509066328617999,0.8978587222450619,0.11120173335075371,0.6071321725048096
PFDS,Branched,liver,3,0.26380753603556556,0.3186399471486261,0.9563591221581694,0.0234127938747406,0.0185119397938251,0.2753693931157781,0.3172941505908966,0.0737889237199582,0.05834314865039375,0.8678678525997342,2.8804354667663574,0.5247565084072594
PFDS,Branched,lung,3,0.2639670822597827,0.3186705467508881,0.7066320466082187,0.0234219897538423,0.018511651083827,0.1325559899225064,0.1744896322488784,0.13423141221614243,0.10609026361763103,0.759678315634472,0.1769925355911255,0.3640823944143777
PFDS,Branched,milk,27,0.07409146246992815,0.2064561974595854,1.6209004572025902,0.0036871010581509584,0.058180275787081924,0.8672813899520274,0.9291487534840902,0.0039682570140950986,0.06261675062138276,0.9334150066928738,0.17043810218779576,0.931279437092878
PFDS,Branched,plasma,24,0.08016558783862111,0.21066127584047253,0.7121208319581177,0.004252898767390378,0.049408192979171824,0.1427554925049531,0.19641658725837866,0.02165244202006142,0.2515479658251938,0.7267995768461428,18.910838874677818,0.3778299783036719
PFDS,Branched,spleen,1,0.26396627769057074,0.3186699581680631,0.6166259870486729,0.0234218388795852,0.0185116492211818,0.0934028932970722,0.1353363841772079,0.1730638735620195,0.13678250186544708,0.6901536040357893,0.0405516475439071,0.3056188693406745
PFDS,Linear,brain,3,0.34277576665671855,0.3829516028327771,1.0087499291982653,0.0381429269909858,0.0179485399276018,0.3077096878745779,0.3638011515140533,0.1048455367231359,0.04933612731269341,0.8458183449776447,0.4186412990093231,0.5547158622885936
PFDS,Linear,feces,14,0.33426769068048995,0.541700678983109,1.4708802732951614,0.039344531883086405,0.12546243625027792,0.629008360456668,0.7938153232846942,0.04956383522591169,0.15804990477020817,0.7923862666872207,7.430167530796358,0.7931004731159023
PFDS,Linear,heart,2,0.3432792358771961,0.38342230538044497,0.6151314698776884,0.0382562614977359,0.0179480873048305,0.0800671598009582,0.1362715065479278,0.2807355878485196,0.13170829147998014,0.5875561357560681,0.0513326600193977,0.2829614104448843
PFDS,Linear,kidney,3,0.34328389489415395,0.3834266735847771,0.9381116527242345,0.0382573902606964,0.0179480891674757,0.2561662303788277,0.3123717010021209,0.12247393133873109,0.05745747489256025,0.8200686219558935,0.1247842907905578,0.5061286697854882
