k_a,cond_T,below_threshold
10.0,84838.41387136608,True
12.589254117941675,84874.96629979361,True
15.848931924611133,84932.64035244109,True
19.952623149688797,85023.6839503524,True
25.118864315095795,85167.42269451566,True
31.622776601683793,85394.2903309523,True
39.810717055349734,85752.0610825616,True
50.11872336272725,86315.3506308051,True
63.09573444801933,87199.77742601826,True
79.43282347242814,88582.33086382152,True
100.0,90729.05628349629,True
125.89254117941675,94029.43536772841,True
158.48931924611142,99033.21957697246,True
199.52623149688787,106480.8766998535,True
251.18864315095823,117317.58997832092,True
316.22776601683796,132689.2296897217,True
398.1071705534973,153936.14978953367,True
501.18723362727246,182612.53328966856,True
630.957344480193,220552.5034659961,True
794.3282347242822,270035.6114370735,True
1000.0,390071.271912762,True
1258.9254117941675,598805.0452356917,True
1584.893192461114,929683.4512455267,True
1995.262314968881,1454116.0600776954,True
2511.886431509582,2285295.768800691,True
3162.2776601683795,3602625.909262212,True
3981.0717055349733,5690443.774079187,True
5011.872336272725,8999394.454193315,True
6309.573444801937,14243702.211935075,True
7943.282347242822,22555335.401202537,True
10000.0,35728341.47915397,True
12589.254117941662,56606091.87498134,True
15848.93192461114,89695023.7130149,True
19952.62314968883,142137354.7364777,True
25118.864315095823,225252732.3758282,True
31622.776601683792,356981582.6720692,True
39810.71705534969,565757556.9819481,True
50118.72336272725,896644945.6032678,True
63095.73444801943,1421065824.9566236,True
79432.82347242821,2252216540.5003915,True
100000.0,3569501182.2717104,True
125892.54117941688,5657256073.493883,True
158489.3192461114,8966123836.966375,True
199526.2314968879,14210324964.620716,True
251188.6431509582,22521822423.39528,True
316227.7660168379,35694656547.48654,True
398107.17055349774,56572190307.87694,True
501187.2336272725,89660848852.85005,True
630957.3444801943,142102834960.00748,True
794328.2347242822,225217780384.483,True
1000000.0,356946080853.8692,True
1258925.4117941686,565721361289.4468,True
1584893.1924611141,896607909774.2327,True
1995262.3149688828,1421027667379.7432,False
2511886.4315095823,2252177035781.1025,False
3162277.6601683795,3569459881524.6606,False
3981071.7055349774,5657212694500.241,False
5011872.336272725,8966077788184.957,False
6309573.444801942,14210276233956.125,False
7943282.347242822,22521766423391.723,False
10000000.0,35694594674859.94,False
