Compound,Isomer,Parameter,Fisher_Diagonal,Local_Sensitivity_S,Local_Sensitivity_S_norm
PFDA,Linear,k_elim,11774.953518072907,108.51245789342764,0.9998797161832167
PFDA,Linear,k_a,0.0001704033332803708,0.013053862772389282,0.00012028381678323225
