Parameter,PFDA Branched,PFDA Linear,PFDS Branched,PFDS Linear,PFDoDA Linear,PFDoDS Branched,PFHxS Linear,PFNS Branched,PFNS Linear,PFOS Branched,PFOS Linear,PFTrDA Linear,PFTrDS Branched,PFUnDA Linear,PFUnDS Branched
k_a,0.6235811743447939,0.0001202838167832,0.2094215403305174,0.2356828319674553,0.0001150886123723,0.1803381563143125,0.0001019870376923,0.1171604164835028,0.1491807104488044,0.1538664087169109,0.1830192898694477,0.0013347094609041,0.1457761415293322,0.0020714089497429,0.2096385520675387
k_ehc,,,0.2126807568606011,0.2423663518415379,,0.2622560060881708,,0.1173725964489981,0.1488816375210636,0.1489540398413226,0.1817441882554777,,0.163132070213645,,0.2092016309603054
k_elim,0.3764188256552061,0.9998797161832168,0.3661099184864433,0.285157743231777,0.9998849113876276,0.3775059355300857,0.4449168332580278,0.5399671873071948,0.3981124073765648,0.4730730186640388,0.3446643713461326,0.998665290539096,0.545721367186535,0.997928591050257,0.3553571989968301
k_feces,,,0.2117877843224382,0.2367930729592297,,0.1798999020674309,,0.1874409475541391,0.303825244653567,0.1573615421883394,0.2514283424083274,,0.1453704210704879,,0.2258026179753256
k_urine,,,,,,,0.55498117970428,0.038058852206165,,0.0667449905893881,0.0391438081206144,,,,
