Compound,Isomer,Parameter,Fisher_Diagonal,Local_Sensitivity_S,Local_Sensitivity_S_norm
PFUnDA,Linear,k_elim,11501.420316856253,107.24467500466517,0.997928591050257
PFUnDA,Linear,k_a,0.049554630313340106,0.2226086932564407,0.0020714089497429616
