Compound,Isomer,Parameter,Fisher_Diagonal,Local_Sensitivity_S,Local_Sensitivity_S_norm
PFNS,Branched,k_elim,4534.350194299919,67.337583816914,0.5399671873071948
PFNS,Branched,k_feces,546.3982018733036,23.37516207159436,0.18744094755413915
PFNS,Branched,k_ehc,214.2465036015084,14.63716173311986,0.11737259644899815
PFNS,Branched,k_a,213.47259677665133,14.610701447112364,0.11716041648350281
PFNS,Branched,k_urine,22.52639485653407,4.7461979369316305,0.038058852206165075
