Parameter,Mean_log10_Fisher_diag,CI_low,CI_high,N_pairs
k_elim,3.7073069746926124,3.414533628537273,4.000080320847951,12.0
k_feces,3.1128278737800215,2.72469721361635,3.500958533943693,6.0
k_ehc,2.90377994922228,2.472742582199812,3.334817316244748,6.0
k_urine,2.2741567722247393,1.1710406946127894,3.3772728498366895,4.0
