Parameter,Mean_log10_value,CI_low,CI_high,N_pairs
k_a,1.2309340886653097,0.7236380390275274,1.738230138303092,32.0
k_ehc,0.6698003336820788,-0.027239257183931498,1.3668399245480891,11.0
k_feces,0.3053284440181023,-0.4996229017910228,1.1102797898272274,15.0
k_elim,0.004521121645872012,-0.491284711033517,0.5003269543252611,32.0
k_urine,-0.21286427651291412,-1.4410743977262332,1.0153458447004051,10.0
